,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
633,Daron Malakian and Scars On Broadway,They Say,2.79955,0.00162,0.469,0.991,1.43e-06,1,0.0826,-1.275,1,0.0475,139.765,4,https://api.spotify.com/v1/tracks/297lTBnCfkMyqzCfDCpqn6,0.46,53
634,Queens of the Stone Age,"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",3.20955,0.0255,0.471,0.862,0.0268,0,0.131,-6.81,0,0.11,159.823,4,https://api.spotify.com/v1/tracks/68DKrU7sTyDpDA5T3dsOlk,0.601,49
635,Ghost,Rats,4.35955,6.11e-06,0.522,0.944,0.482,2,0.135,-5.731,0,0.0936,124.029,4,https://api.spotify.com/v1/tracks/0GSguwVydcDTrHPoQsS8FU,0.236,58
636,Alice In Chains,The One You Know,4.816883333333333,0.000222,0.557,0.772,0.0192,6,0.196,-4.989,0,0.0325,77.533,4,https://api.spotify.com/v1/tracks/5pabjUgf6yZRzucUnaUfFj,0.567,62
637,Godsmack,Bulletproof,2.9508,0.000198,0.39,0.91,0.0,5,0.156,-3.268,0,0.133,162.253,4,https://api.spotify.com/v1/tracks/6w7ily4cFWEPO0XWFQYeUO,0.644,60
638,Shinedown,BLACK SOUL,3.3884333333333334,0.00018,0.448,0.927,0.00676,6,0.0822,-3.244,1,0.061,174.079,4,https://api.spotify.com/v1/tracks/5ry1GWOraVbudUG4Rn9dHu,0.687,62
639,Shinedown,THE HUMAN RADIO,4.1511,0.000742,0.469,0.754,0.00514,4,0.165,-4.166,0,0.0502,171.952,4,https://api.spotify.com/v1/tracks/5SyUoQtQaeYoMUmjUcsCRi,0.573,61
640,Shinedown,Enemies,3.1348833333333332,0.00159,0.507,0.966,0.0,1,0.336,-2.635,1,0.046,136.035,4,https://api.spotify.com/v1/tracks/1SDl9wY1MqbpJQW0yKEWxL,0.502,65
641,Silverstein,The Afterglow,3.148083333333333,0.00556,0.476,0.964,0.0,8,0.268,-4.683,1,0.127,167.112,4,https://api.spotify.com/v1/tracks/4VKN3lBovrmKK7nWP4xknO,0.724,59
642,Incubus,Megalomaniac,4.909766666666667,0.00674,0.528,0.943,0.000576,7,0.352,-4.527,0,0.0539,140.05,4,https://api.spotify.com/v1/tracks/1bcCxCNwcfgXGCx6evx0vx,0.364,5
643,Avenged Sevenfold,God Hates Us,5.319766666666666,0.000321,0.453,0.959,0.14,0,0.132,-6.121,0,0.119,139.997,4,https://api.spotify.com/v1/tracks/031uTUhyy6xmDJqmeWJBi9,0.204,54
644,Godsmack,Dead And Broken,4.18955,3.37e-05,0.297,0.927,0.0,5,0.0423,-3.798,1,0.0766,161.933,4,https://api.spotify.com/v1/tracks/6mhSpLrdGNJf7Iyrm3wPkN,0.458,32
645,Metallica,...And Justice For All,9.7751,0.000105,0.541,0.796,0.0763,9,0.0581,-7.465,1,0.131,87.215,4,https://api.spotify.com/v1/tracks/45X8e5L2QLLrgMDpahqB7P,0.401,55
646,Breaking Benjamin,Torn in Two,4.290883333333333,0.000113,0.354,0.943,0.0187,5,0.104,-3.633,1,0.288,94.416,4,https://api.spotify.com/v1/tracks/3IiMnjK7S2PlsPVMuAH7rU,0.367,60
