,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
76,Imagine Dragons,Smoke And Mirrors,4.347766666666667,0.0552,0.599,0.65,0.00902,7,0.389,-7.095,1,0.028,109.982,4,https://api.spotify.com/v1/tracks/0joO6IeobvKP3cDz8xZfWe,0.0921,51
77,Imagine Dragons,I’m So Sorry,3.8366666666666664,0.149,0.325,0.682,0.0,4,0.2,-6.01,0,0.0608,71.4,4,https://api.spotify.com/v1/tracks/4o74y4XY1ypNZkZtZkK8Wi,0.356,64
78,Imagine Dragons,I Bet My Life,3.2117666666666667,0.399,0.554,0.651,0.000418,1,0.208,-8.193,1,0.0419,107.912,4,https://api.spotify.com/v1/tracks/15DrrIod12Tc2IoMaHiwlQ,0.581,64
79,Imagine Dragons,Polaroid,3.83355,0.525,0.528,0.613,2.1e-06,1,0.167,-6.888,1,0.0426,77.006,4,https://api.spotify.com/v1/tracks/7fvgzmfXxrdTcrL3xh2cBD,0.247,56
80,Imagine Dragons,Friction,3.3633333333333333,0.0479,0.64,0.542,0.0439,8,0.208,-8.683,1,0.0398,103.863,4,https://api.spotify.com/v1/tracks/2iIb73Qn02LsZwpW8RJUxh,0.272,64
81,Imagine Dragons,Hopeless Opus,3.98,0.00381,0.629,0.673,9.63e-05,3,0.206,-6.212,1,0.0346,140.108,4,https://api.spotify.com/v1/tracks/46dszOgLrnBSqbo6Vkc91Q,0.562,47
82,Imagine Dragons,Whatever It Takes,3.36,0.0355,0.673,0.676,0.0,1,0.107,-5.002,1,0.0308,134.944,4,https://api.spotify.com/v1/tracks/6QV0jXpL3RHVkN2g8C7mvh,0.57,11
83,Imagine Dragons,Walking The Wire,3.8817666666666666,0.0111,0.31,0.783,1.15e-06,4,0.0759,-5.345,1,0.0448,99.726,4,https://api.spotify.com/v1/tracks/0PVd8pJKhyAtDS1V0r2llI,0.123,2
84,Imagine Dragons,Thunder,3.12935,0.00593,0.608,0.841,0.0573,0,0.121,-3.798,1,0.0464,167.969,4,https://api.spotify.com/v1/tracks/0oP9pK1D1lNF3Lb7jkl6Xx,0.274,20
85,Jimmy Eat World,Sweetness,3.6671,0.00407,0.491,0.888,0.0,5,0.286,-4.412,1,0.038,135.253,4,https://api.spotify.com/v1/tracks/18IqyOGs1pRNZfbMo93r57,0.656,63
86,Jimmy Eat World,The Middle,2.8042166666666666,0.0424,0.629,0.897,0.0,2,0.263,-3.401,1,0.0483,161.944,4,https://api.spotify.com/v1/tracks/3mcG2NI5G5vhrQtRda1YnA,0.93,73
87,Jimmy Eat World,Pain,3.0217666666666667,0.0209,0.396,0.961,0.0,0,0.609,-3.339,0,0.111,168.03,4,https://api.spotify.com/v1/tracks/6mW55jsmWapFREmli1SsIM,0.27,54
88,Kasabian,Club Foot,3.5728833333333334,0.0257,0.237,0.919,2.31e-05,0,0.0914,-6.893,1,0.0814,101.758,4,https://api.spotify.com/v1/tracks/6C0xucNj75wRdlejwWIEW1,0.123,64
89,The Killers,Spaceman,4.7424333333333335,0.00237,0.526,0.924,0.0012,4,0.129,-4.073,1,0.0536,152.034,4,https://api.spotify.com/v1/tracks/6zbnpAx9RH1W0dS4JEqdpc,0.802,56
90,The Killers,Mr. Brightside,3.709766666666667,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,0.234,79
91,The Killers,Somebody Told Me,3.286,0.000123,0.5,0.975,0.000379,10,0.104,-3.176,0,0.0824,138.005,4,https://api.spotify.com/v1/tracks/7HGTkn2aX7MNdKs7nV2xBt,0.767,70
92,The Killers,When You Were Young,3.673766666666667,0.000202,0.463,0.983,0.129,8,0.303,-3.254,0,0.138,130.394,4,https://api.spotify.com/v1/tracks/70wYA8oYHoMzhRRkARoMhU,0.37,70
93,The Killers,The Man,4.168216666666667,0.0767,0.608,0.945,1.26e-06,6,0.0721,-2.56,0,0.103,106.011,4,https://api.spotify.com/v1/tracks/5aWhs651KYM26HYM16kRdk,0.527,66
94,KONGOS,Come with Me Now,3.5326666666666666,0.0311,0.654,0.726,6.35e-05,10,0.0618,-3.803,0,0.0401,103.987,4,https://api.spotify.com/v1/tracks/2kWowW0k4oFymhkr7LmvzO,0.728,69
95,Living Colour,Cult of Personality,4.902666666666667,0.00176,0.508,0.911,3.59e-05,0,0.497,-3.425,1,0.0501,91.983,4,https://api.spotify.com/v1/tracks/1XIh7vGeTRTbCmWAX6A8u8,0.553,50
96,Mayday Parade,Jamie All Over,3.6,6.49e-05,0.428,0.868,0.0,1,0.0735,-3.647,1,0.0444,148.91,4,https://api.spotify.com/v1/tracks/2I24iuYNtqNuFD8XbNHu8Q,0.407,56
97,Metro Station,Shake It,2.9991,0.00221,0.618,0.955,3.09e-06,4,0.486,-3.836,1,0.0798,150.034,4,https://api.spotify.com/v1/tracks/5619Ojc6t9evEEs3B7Drhe,0.79,69
98,The Mighty Mighty Bosstones,The Impression That I Get,3.246,0.0908,0.425,0.936,0.00469,4,0.201,-5.354,1,0.145,182.318,4,https://api.spotify.com/v1/tracks/1ru5R5iSawvuMELqKXxLjS,0.665,62
99,Modest Mouse,Float On,3.4744333333333333,0.013,0.649,0.888,2.23e-06,6,0.0888,-4.807,1,0.0293,100.975,4,https://api.spotify.com/v1/tracks/2lwwrWVKdf3LR9lbbhnr6R,0.553,73
100,Muse,Uprising,5.080666666666667,0.000202,0.602,0.905,0.064,2,0.117,-4.046,1,0.0775,128.019,4,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ,0.411,75
101,Muse,Madness,4.684,0.127,0.502,0.417,0.00419,10,0.106,-7.665,1,0.0718,180.301,4,https://api.spotify.com/v1/tracks/0c4IEciLCDdXEhhKxj4ThA,0.218,70
102,My Chemical Romance,Teenagers,2.6986666666666665,0.0506,0.463,0.857,0.0,4,0.184,-3.063,1,0.0632,111.647,4,https://api.spotify.com/v1/tracks/7j31rVgGX9Q2blT92VBEA0,0.856,75
103,My Chemical Romance,Famous Last Words,4.9871,0.000321,0.467,0.883,0.000152,2,0.125,-3.679,0,0.106,122.252,4,https://api.spotify.com/v1/tracks/2d6m2F4I7wCuAKtSsdhh83,0.309,69
104,My Chemical Romance,Na Na Na [Na Na Na Na Na Na Na Na Na],3.4326666666666665,0.000264,0.411,0.986,0.00148,8,0.371,-2.522,0,0.0583,165.981,4,https://api.spotify.com/v1/tracks/5BB0Jzw60KyfSTyjJqtely,0.649,66
105,My Chemical Romance,Helena (So Long & Goodnight),3.4122166666666667,0.0142,0.356,0.96,0.0,4,0.209,-3.487,1,0.104,125.921,4,https://api.spotify.com/v1/tracks/5dTHtzHFPyi8TlTtzoz1J9,0.0857,72
106,My Chemical Romance,I'm Not Okay (I Promise),3.108,0.00602,0.21,0.94,0.0,9,0.269,-3.427,1,0.123,179.722,4,https://api.spotify.com/v1/tracks/7lRlq939cDG4SzWOF4VAnd,0.255,71
107,My Chemical Romance,The Ghost Of You,3.23755,0.0286,0.202,0.886,0.0,11,0.643,-3.805,0,0.0816,145.781,4,https://api.spotify.com/v1/tracks/1yKAqZoi8xWGLCf5vajroL,0.192,63
108,Neck Deep,In Bloom,3.6342333333333334,0.00359,0.594,0.959,1.34e-05,7,0.101,-4.697,1,0.0486,110.979,4,https://api.spotify.com/v1/tracks/6WoyghnMAvDDRbZfFbpwEo,0.381,63
109,Neon Trees,Songs I Can't Listen To,3.3437666666666668,0.00747,0.471,0.833,1.78e-05,11,0.0735,-4.985,0,0.0415,175.003,4,https://api.spotify.com/v1/tracks/1WMBlpjhd3AUQiNfJOzfIl,0.694,53
110,New Radicals,You Get What You Give,5.012883333333333,0.171,0.618,0.896,0.0,2,0.0875,-5.357,1,0.0307,113.961,4,https://api.spotify.com/v1/tracks/1Cwsd5xI8CajJz795oy4XF,0.711,65
111,Oasis,Don't Look Back In Anger - Remastered,4.825983333333333,0.0596,0.333,0.922,2.05e-06,0,0.126,-4.087,1,0.0592,162.978,4,https://api.spotify.com/v1/tracks/7CVYxHq1L0Z4G84jTDS6Jl,0.335,65
112,The Offspring,Can't Repeat,3.442,0.011,0.531,0.863,1.83e-06,0,0.0844,-3.822,1,0.0383,106.279,4,https://api.spotify.com/v1/tracks/7bj0JheylhhxzKfGTNCbYc,0.609,0
113,The Offspring,Come out and Play,3.296666666666667,0.0535,0.476,0.856,6.75e-06,7,0.0846,-3.764,1,0.161,158.671,4,https://api.spotify.com/v1/tracks/7uz3vAnO8rzzImn84aBB1O,0.847,0
114,The Offspring,Self Esteem,4.296,0.0175,0.458,0.912,0.0,5,0.363,-3.666,1,0.0618,104.526,4,https://api.spotify.com/v1/tracks/2Eh1aSzSV0b6YpqOXgWH8G,0.611,0
115,The Offspring,The Kids Aren't Alright,2.9991,0.006,0.512,0.945,3.25e-05,1,0.0581,-4.204,1,0.0347,99.552,4,https://api.spotify.com/v1/tracks/6yhA35cQ6zNtccfoF9hH8k,0.812,0
116,The Offspring,Want You Bad,3.371766666666667,5.43e-05,0.488,0.969,0.0,4,0.119,-4.252,1,0.0498,105.529,4,https://api.spotify.com/v1/tracks/0QT7lw4lCIk1XBzaZphJvh,0.651,1
117,The Offspring,Why Don't You Get a Job?,2.8171,0.056,0.768,0.772,5.9e-06,5,0.253,-4.317,1,0.0411,107.958,4,https://api.spotify.com/v1/tracks/0z2TMb0SEx3np7MeohoopV,0.937,0
118,The Offspring,The Meaning Of Life,2.9444333333333335,0.00842,0.257,0.969,0.000142,5,0.0659,-2.732,1,0.0656,169.03,4,https://api.spotify.com/v1/tracks/48WEsrIKIPyQzCW4pcf3sh,0.517,42
119,The Offspring,"You're Gonna Go Far, Kid",2.963766666666667,0.00466,0.55,0.918,0.0,9,0.206,-3.159,0,0.0682,126.083,4,https://api.spotify.com/v1/tracks/1FMm3wG5WOhi7js35KR7Ea,0.563,16
120,The Offspring,Hammerhead,4.640666666666666,0.00163,0.485,0.95,0.00825,11,0.0757,-3.571,1,0.0541,154.427,4,https://api.spotify.com/v1/tracks/4dhqJs8efyqbziBPtfxbNF,0.51,0
121,The Offspring,Half-Truism,3.4324333333333334,0.00089,0.424,0.92,5.06e-06,7,0.111,-3.824,1,0.0407,144.016,4,https://api.spotify.com/v1/tracks/7xm8RWCCBYvEVx1VyErDa3,0.381,41
122,Panic! At The Disco,Don't Threaten Me With A Good Time,3.55155,0.0154,0.559,0.895,0.0,1,0.175,-4.476,0,0.0832,183.825,4,https://api.spotify.com/v1/tracks/2fh3bZ8jZhMxOcfESE9nQY,0.59,74
123,Panic! At The Disco,Hallelujah,3.0104333333333333,0.011,0.578,0.886,0.0,11,0.143,-4.348,1,0.0633,80.008,4,https://api.spotify.com/v1/tracks/6TzJLISIitIzn1WtjDY0Op,0.615,70
124,Panic! At The Disco,Emperor's New Clothes,2.644433333333333,0.00302,0.562,0.904,0.0,1,0.0433,-4.947,1,0.0807,94.481,4,https://api.spotify.com/v1/tracks/3px2rAPu74ltbkf9eZsZ8h,0.651,75
125,Panic! At The Disco,Death Of A Bachelor,3.391766666666667,0.0137,0.462,0.538,0.0,0,0.429,-5.527,1,0.059,139.256,4,https://api.spotify.com/v1/tracks/1BECwm5qkaBwlbfo4kpYx8,0.405,77
126,Panic! At The Disco,LA Devotee,3.275333333333333,0.00043,0.49,0.848,8.49e-06,9,0.0665,-5.05,1,0.0645,175.998,4,https://api.spotify.com/v1/tracks/2fmCA13dwQQOGBIbIOWRiJ,0.698,74
127,Panic! At The Disco,The Only Difference Between Martyrdom and Suicide is Press Coverage,2.9488833333333333,0.0598,0.517,0.93,0.0,6,0.35,-3.902,0,0.216,170.068,4,https://api.spotify.com/v1/tracks/4WdopfTdSd0nCLropjhsgH,0.696,62
128,Panic! At The Disco,Lying Is The Most Fun A Girl Can Have Without Taking Her Clothes Off,3.3371,0.106,0.66,0.799,0.0,8,0.154,-4.644,1,0.0995,125.966,4,https://api.spotify.com/v1/tracks/5eB7w8UZJKjL5XmnC6Pctg,0.475,65
129,Panic! At The Disco,I Write Sins Not Tragedies,3.1268833333333332,0.0938,0.567,0.795,0.0,9,0.114,-4.985,0,0.134,170.06,4,https://api.spotify.com/v1/tracks/4bPQs0PHn4xbipzdPfn6du,0.635,75
130,Panic! At The Disco,Miss Jackson (feat. LOLO),3.2008833333333335,0.00394,0.642,0.873,0.0,2,0.175,-5.821,1,0.0551,82.002,4,https://api.spotify.com/v1/tracks/46Kcradxrva9Dny4lHU1b3,0.662,72
131,Panic! At The Disco,This Is Gospel,3.1197666666666666,0.00155,0.572,0.912,1.2e-06,7,0.102,-4.875,1,0.0707,156.073,4,https://api.spotify.com/v1/tracks/3yZQk5PC52CCmT4ZaTIKvv,0.606,76
132,Paramore,Rose-Colored Boy,3.54755,0.00199,0.768,0.826,0.000374,5,0.031,-4.904,1,0.0335,114.997,4,https://api.spotify.com/v1/tracks/2RJfK2pOvGpnxC255YOy5k,0.926,69
133,Paramore,Told You So,3.1491,0.0029,0.639,0.814,2.98e-05,2,0.0529,-5.632,0,0.0385,123.922,4,https://api.spotify.com/v1/tracks/7BpYWzZwrsljT1eIjb0TqR,0.904,67
134,Paramore,Ignorance,3.6437666666666666,0.00109,0.522,0.964,0.000389,11,0.0387,-2.645,0,0.095,170.944,4,https://api.spotify.com/v1/tracks/47No93LxERvV6MtOAmQzHS,0.51,67
135,Paramore,Brick By Boring Brick,4.232433333333334,9.56e-05,0.436,0.942,0.000438,9,0.209,-2.206,1,0.0496,164.975,4,https://api.spotify.com/v1/tracks/1a9YW7fATU351ok4zWjU7a,0.5,63
136,Paramore,The Only Exception,4.460883333333333,0.144,0.452,0.563,0.0,4,0.143,-6.607,1,0.0272,137.715,3,https://api.spotify.com/v1/tracks/7JIuqL4ZqkpfGKQhYlrirs,0.209,70
137,Paramore,Feeling Sorry,3.0857666666666668,0.000109,0.395,0.928,0.000136,1,0.0938,-3.672,0,0.0604,195.862,3,https://api.spotify.com/v1/tracks/2F9JloTNvfkIvwXJP0bZUO,0.649,52
138,Paramore,Hard Times,3.0448833333333334,0.00647,0.695,0.818,4.87e-06,5,0.0219,-5.379,0,0.0334,119.965,4,https://api.spotify.com/v1/tracks/5hHudNsfZXmdgefWxAX2LG,0.916,59
