,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
228,Emmure,Smokey,2.0222166666666666,0.0025,0.545,0.983,0.0927,10,0.231,-5.154,1,0.194,139.951,3,https://api.spotify.com/v1/tracks/0AJdd5tLbokDkD3D1Voq2D,0.0381,6
229,Emmure,Natural Born Killer,2.6277666666666666,3.82e-06,0.276,0.959,0.00122,5,0.0778,-2.766,1,0.113,159.913,4,https://api.spotify.com/v1/tracks/3NrM42v9yhqj6CadCJL8KC,0.432,7
230,Emmure,Flag of the Beast,3.3916666666666666,2.05e-05,0.535,0.974,0.000149,10,0.263,-3.566,0,0.172,116.956,4,https://api.spotify.com/v1/tracks/63H8IjCocVCG8FzrX2NO94,0.436,9
231,Emmure,Russian Hotel Aftermath,3.007216666666667,4.5e-06,0.463,0.978,1.41e-05,8,0.396,-3.067,1,0.196,125.005,4,https://api.spotify.com/v1/tracks/4vVRg7MwNsh8DZ1qbJaRoB,0.313,40
232,Erra,Alpha Seed,4.950383333333333,0.000156,0.274,0.989,2.56e-05,1,0.151,-2.81,1,0.102,175.09,4,https://api.spotify.com/v1/tracks/3I0FhXPnEOEGGNi3zu1DQJ,0.103,43
233,Erra,Pulse,4.028216666666666,0.000164,0.329,0.989,0.000188,10,0.287,-3.143,0,0.173,195.013,4,https://api.spotify.com/v1/tracks/6UevPknPIGDy71vgGtZdzP,0.241,39
234,Erra,Dreamwalkers,3.9446666666666665,9.7e-05,0.3,0.985,0.0,1,0.428,-2.568,1,0.0953,175.024,4,https://api.spotify.com/v1/tracks/1RJzQoLiRLCnItNMiIPhxQ,0.161,37
235,Erra,Frostbite,3.870433333333333,9.51e-05,0.239,0.989,5.15e-06,1,0.362,-2.457,1,0.119,195.138,4,https://api.spotify.com/v1/tracks/1C93FP06z00t750aNHGPwB,0.126,37
236,Erra,Hybrid Earth,4.340433333333333,3.25e-05,0.469,0.972,1.67e-06,6,0.4,-3.156,1,0.145,129.958,4,https://api.spotify.com/v1/tracks/1BUEtWDb6mRIZ4DxfqMax3,0.306,39
237,Erra,Rebirth,4.8486666666666665,0.00108,0.139,0.994,8.35e-05,10,0.145,-3.733,0,0.501,159.884,4,https://api.spotify.com/v1/tracks/2icOstx7ePS0SttvNngTE7,0.0368,37
